difference0,difference1,difference2,difference3,difference4,difference5,difference6,difference7,difference8,difference9,difference10,difference11,difference12,difference13,difference14,difference15,difference16,difference17,difference18,difference19,difference20,difference21,difference22,difference23,difference24,z_score
-13.523240449014589,-6.762510442587562,-4.346502169448171,-14.285253092663327,-19.650453149483152,-15.356634534832077,-20.08421903687261,-20.515389738777262,-11.919096754792808,-11.213583441854228,-18.865537566777387,-20.828347176284648,-18.71500934103564,-22.313725586950945,-18.971741558170542,-12.76522756474709,-9.866586502616913,-5.275275572094921,-17.932246205238904,-25.56059582809199,-12.956023010102042,-24.380336691596646,-22.9884451150971,-23.496138985782707,-25.21120050840057,-0.9654642937168632
-12.974515246356823,-10.225215658652232,-11.863340502441794,-12.087134729964237,-14.28803701549925,-4.581815413315793,-3.8762862303128998,-11.65327456386013,-14.137874705402972,-8.764844499985815,-11.487389368292087,-9.71481106937254,-11.200428824166284,-2.2231914461837956,-5.173200745963083,-7.0411251800486765,-0.903306993851161,-0.4545913618203788,-4.7274102837482,-12.194455037456892,-4.806108911657344,-4.318253618402209,-10.824423775037362,-12.347206860615321,-10.985365000536284,0.7079290919959903
-4.784685595486178,-6.617714714752636,-2.4376899572196846,-5.742826499759444,-10.361855093882866,0.7539947615897464,-2.4325610071795842,-2.4689947525552842,-6.997363122327638,-12.478914973631849,1.3869190613544278,-1.7759158618383755,4.07869744151761,5.267737224573715,-5.294056084512266,-2.7414060838895407,-6.952520843004908,-3.5321127941139667,1.236156888503026,-2.483328608439691,-12.52693482568031,-14.774350736461338,-14.793435615750722,-21.953976431113986,-20.59898310948593,0.8110680654102282
-20.877819382143183,-19.316580276295355,-19.31643017524019,-15.451563966280712,-14.400485776844254,-14.802384563620897,-12.975888911267837,-20.47400069643547,-14.155401319696825,-12.791711356987634,-11.242502340073695,-12.02281616761596,-13.990769222520983,-13.525840026964405,-20.77408400826072,-9.321709978535042,-10.27527178832916,-16.154874628606738,-18.531833898993707,-18.20140087554272,-11.583379890710225,-16.177848406142928,-14.224455332531456,-14.548143476697062,-16.753577540584534,-0.536263302658864
-19.55735892343476,-0.3559603128171959,-0.2669759880511267,1.128870022751966,-3.2151145513085346,-6.122304297414521,-5.41250659192936,-14.19412516625905,0.12207308675473659,-2.128550742248426,-5.531069065224364,-5.486933262202654,-8.52530179585455,-5.401846527595683,-2.676358668956414,0.3718233780064729,0.15025850123775164,2.3248739043518234,-1.3807442901561395,-4.241146242937987,-2.0427792805975837,0.6349371735457234,-7.6047744267464195,-1.459939968477151,-12.33230004390478,-0.4413038845676471
-12.56963862392739,-9.950201115152824,-10.67294409577987,-7.480514550923817,-7.5087524166935395,-8.04846548109765,-11.499483348210248,-10.782674445945993,-10.384312421244925,-6.906885524065845,-5.026283387466365,-6.884588697846371,-7.013875245367873,-8.562990419299076,-3.654463111560232,-3.732937006694541,-7.409879274440032,-7.851001249830065,-7.18989378079021,-3.807882479497063,-5.140500418603584,-8.168683840283874,-6.649026398194802,-6.830270796543344,-8.367529435235419,-0.05059468844180545
-2.439796323841715,-2.8773951029553135,-2.1948397835364237,-4.601333678703577,-11.08250356321971,-15.130070947681357,-14.272798275850286,-12.079444981995904,-5.609163319356705,-4.973369118497931,-10.987535867647978,-10.546675542118312,-9.644011803791152,-10.141414007388684,-7.137611633871191,-7.729471453556118,-7.862631199239123,-5.998552411539241,-8.15566482621587,-3.1447034586085585,-3.6370996384397936,-0.8504823802731057,-9.033652487537049,-11.253446540816128,-15.283185156319105,-0.6533562824915689
-0.32454073979750253,2.900809434439015,-7.25804960370843,-2.8023036092517364,-1.908103010472426,-2.49041480103856,-2.808491927450929,-6.350349166511126,-4.074929688288691,1.2072462719285,5.829962240648155,-2.263401382368216,-0.8611067834975918,-2.1234124700090082,-2.950165773409366,-1.2105042630734726,0.43205431537202993,-2.1997535759979816,-1.090096175168896,0.5722594195987875,-3.0301793531843786,0.31089909328951343,-4.080183136624074,-4.507024179219841,-9.408367279369758,-0.9490996007020008
-7.935717607331432,-7.412927981662193,-9.490439372591222,-7.0782309630387195,-5.505174317208829,-6.437186776229222,-6.089133307000071,-7.785672052011846,-8.525688094780898,-8.857265346411655,-6.0642478372003,-3.742629355131639,-5.9404790164954555,-5.388413174429855,-9.738688235992704,-3.0708772869773573,-5.939716554664731,-7.0453212872776625,-8.295555202902639,-3.117370383802268,-4.658875027283803,-5.090047530484813,-5.1018379847099755,-6.161856560223462,-6.4030373257887065,-0.5067155589213489
-5.148669711718229,-13.453027825004257,-19.0773871024427,-5.773623560997,-11.944649740291267,-19.27109921249113,-21.780777662317853,-18.1685557275452,-12.110957058748577,-6.803000763421299,-8.382576437119267,-15.940872653642241,-3.9471975364266383,-5.859582182438986,-5.532247020006023,-6.627982168952584,-11.244253700646956,-10.612390927612909,-19.259096801004326,-13.966817178610176,-14.249730052343654,-18.160747304700916,-14.442322036743645,-18.171927358302295,-21.792342074907385,-0.4015524084810709
