,id,average0,average1,average2,average3,average4,average5,average6,average7,average8,average9,average10,average11,average12,average13,average14,average15,average16,average17,average18,average19,average20,average21,average22,average23,average24,rating,z_score,category,binary_category
26,recording26.mp3,942.5064999999998,364.5322499999999,522.40575,319.6,311.43399999999997,613.7405000000001,375.9095000000001,735.36075,338.2445,309.78825000000006,751.7755000000002,327.38575000000003,1466.91275,865.948,322.79875000000004,312.9485000000001,319.6840000000001,276.37199999999996,266.6505,932.2784999999998,365.16150000000005,786.7092500000003,426.3612499999998,285.62750000000005,661.80225,3.8,-0.9760523780939652,bad,bad
27,recording27.mp3,483.58725000000004,490.3507500000002,420.40825000000007,880.7000000000002,382.168,280.49475,483.4952500000001,553.0842500000001,735.0849999999998,1047.8839999999996,406.675,335.59450000000004,1020.6062499999998,382.22974999999997,473.10575,626.3155000000002,428.51725000000005,452.28075000000007,893.17325,726.3617500000001,516.14225,740.7919999999998,1298.4704999999997,410.81624999999997,274.4027499999999,4.8,-0.008157769147890948,okay,good
28,recording28.mp3,818.8752499999999,522.4425000000001,267.938,607.2270000000001,278.2502500000001,371.84149999999994,210.33800000000005,547.3467499999998,397.8492500000001,658.57375,313.38475,295.86150000000004,499.55925000000013,450.0200000000001,617.3562500000002,1079.16075,267.10499999999996,246.04100000000003,208.69400000000002,336.74550000000005,533.4475000000001,467.6735,299.82975,276.476,159.50050000000002,7.0,0.952025981877289,good,good
29,recording29.mp3,2829.11375,1331.6617500000004,922.2262500000003,308.20799999999997,291.89074999999997,325.13,544.2022499999999,1380.4644999999998,1162.6127499999996,336.7487499999999,308.2165000000001,754.1659999999999,434.18225,2204.0552500000003,527.109,415.9839999999999,516.9097500000001,337.31000000000006,569.278,505.40650000000005,478.0232499999999,2066.7087500000002,344.5827499999999,311.77625,309.494,6.25,0.23083432192373687,okay,good
30,recording30.mp3,204.70399999999995,220.32025000000004,204.57074999999998,350.168,255.8680000000001,254.40449999999996,271.27575,198.07975,206.58675,272.95399999999995,270.0182500000001,266.83425,311.349,1177.6574999999998,283.85350000000005,253.61599999999999,274.3684999999999,228.39325,331.35499999999996,332.3292499999999,312.537,263.00024999999994,302.88700000000006,273.817,272.886,7.5,0.8372060667541331,good,good
31,recording31.mp3,327.18424999999996,538.6730000000002,1082.5712499999995,2023.9875000000004,351.10450000000003,876.7639999999999,763.8192500000001,492.5204999999998,672.72575,1873.9644999999994,560.7304999999999,685.4497500000001,788.4377499999998,438.96275,677.113,1509.8695,370.00749999999994,775.3209999999998,725.5385,522.808,425.462,794.01875,2614.632,520.8500000000001,426.15175,8.166666666666666,1.076238010913836,good,good
32,recording32.mp3,609.4985000000001,475.2369999999999,1503.1692499999997,380.717,385.90075,1511.6659999999997,517.3215,705.891,1342.841,408.8227500000001,379.11475,1039.0149999999996,638.2059999999999,1232.4155000000005,1116.3855000000003,599.914,314.26474999999994,746.02775,509.73849999999993,753.27725,384.93625,756.7124999999999,398.5395,381.74675,400.49075000000005,7.166666666666667,0.7789614165002886,good,good
33,recording33.mp3,189.09500000000003,220.56250000000006,226.988,255.6692500000001,255.13174999999993,201.24200000000002,217.02474999999998,190.51700000000005,287.6705,268.44074999999987,260.54275000000007,192.55024999999995,369.11625000000004,507.6297499999999,465.2032499999999,363.36800000000005,228.42000000000002,215.47175,357.12799999999993,329.08000000000004,276.71350000000007,285.673,259.6445,255.95724999999993,255.68300000000005,5.8,0.3316417669375206,okay,good
34,recording34.mp3,179.0315,342.2557499999999,417.8932499999999,367.62675,398.3285,505.22950000000003,337.0755,276.833,936.4105000000002,315.88374999999996,290.77075,143.73899999999995,349.005,556.6062499999999,446.6725000000001,1352.94325,256.59275,247.54850000000002,392.6249999999999,450.53049999999996,359.23400000000004,303.14399999999995,324.8367500000001,289.91325,287.71975,7.666666666666667,1.0549211935821872,good,good
35,recording35.mp3,452.8512499999999,292.85675000000003,405.2732500000001,1253.04275,362.54274999999996,331.84325,1344.5005000000006,392.7307499999999,299.05724999999995,1255.262,381.47225000000003,379.31850000000003,477.03600000000006,636.7782499999998,433.0582499999999,895.4029999999997,633.3625,1233.8820000000003,1189.41275,1190.7810000000004,434.38274999999993,907.9630000000001,947.7760000000001,362.12649999999996,338.23924999999997,8.25,1.629736715095023,good,good
